ID,Subfolder,Filename,File_Location,Test_Start_Date,Test_Start_Time,00000140_Insertion_count,00008000_Status_Test,00000130_Tot_Test_time,00003080_,00003080_Serial_Block
1077,00000000\0000,00000064-01471000-20241010083214-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00000000\0000\00000064-01471000-20241010083214-F.log,,,,,,,
1078,00080000\0200,00080250-00371105-20241029103015-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080250-00371105-20241029103015-F.log,2024-10-29,10:28:45,108,,90.0[s],Download SerialInput,
1079,00080000\0200,00080250-00371105-20241029103216-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080250-00371105-20241029103216-P.log,2024-10-29,10:30:53,109,Test Passed,84.1[s],Download SerialInput,
1080,00080000\0200,00080252-00371105-20241029075131-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080252-00371105-20241029075131-F.log,2024-10-29,07:50:02,57,,89.9[s],Download SerialInput,
1081,00080000\0200,00080252-00371105-20241029075811-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080252-00371105-20241029075811-P.log,2024-10-29,07:56:49,60,Test Passed,90.4[s],Download SerialInput,
1082,00080000\0200,00080253-00371105-20241029080340-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080253-00371105-20241029080340-F.log,2024-10-29,08:02:01,62,,99.5[s],Download SerialInput,
1083,00080000\0200,00080253-00371105-20241029082539-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080253-00371105-20241029082539-F.log,2024-10-29,08:23:58,68,,108.3[s],Download SerialInput,
1084,00080000\0200,00080253-00371105-20241029083725-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080253-00371105-20241029083725-F.log,2024-10-29,08:36:00,72,,87.2[s],Download SerialInput,
1085,00080000\0200,00080253-00371105-20241029084157-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080253-00371105-20241029084157-P.log,2024-10-29,08:40:45,73,Test Passed,75.4[s],Download SerialInput,
1086,00080000\0200,00080256-00371105-20241029081401-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080256-00371105-20241029081401-P.log,2024-10-29,08:12:25,64,Test Passed,96.8[s],Download SerialInput,
1087,00080000\0200,00080257-00371105-20241029080612-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080257-00371105-20241029080612-P.log,2024-10-29,08:04:45,63,Test Passed,86.6[s],Download SerialInput,
1088,00080000\0200,00080258-00371105-20241029080043-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080258-00371105-20241029080043-P.log,2024-10-29,07:59:16,61,Test Passed,87.0[s],Download SerialInput,
1089,00080000\0200,00080259-00371105-20241029083044-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080259-00371105-20241029083044-P.log,2024-10-29,08:29:08,70,Test Passed,97.2[s],Download SerialInput,
1090,00080000\0200,00080260-00371105-20241029110908-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080260-00371105-20241029110908-P.log,2024-10-29,11:07:42,123,Test Passed,87.1[s],Download SerialInput,
1091,00080000\0200,00080261-00371105-20241029081637-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080261-00371105-20241029081637-P.log,2024-10-29,08:15:11,65,Test Passed,86.7[s],Download SerialInput,
1092,00080000\0200,00080262-00371105-20241029085129-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080262-00371105-20241029085129-P.log,2024-10-29,08:50:12,76,Test Passed,76.9[s],Download SerialInput,
1093,00080000\0200,00080263-00371105-20241029094023-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080263-00371105-20241029094023-F.log,2024-10-29,09:38:44,92,,99.5[s],Download SerialInput,
1094,00080000\0200,00080263-00371105-20241029094317-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080263-00371105-20241029094317-F.log,2024-10-29,09:42:02,93,,78.2[s],Download SerialInput,
1095,00080000\0200,00080263-00371105-20241029095437-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080263-00371105-20241029095437-F.log,2024-10-29,09:53:22,97,,79.9[s],Download SerialInput,
1096,00080000\0200,00080263-00371105-20241029101351-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080263-00371105-20241029101351-P.log,2024-10-29,10:12:29,102,Test Passed,84.3[s],Download SerialInput,
1097,00080000\0200,00080264-00371105-20241029092307-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080264-00371105-20241029092307-F.log,2024-10-29,09:21:28,86,,99.5[s],Download SerialInput,
1098,00080000\0200,00080264-00371105-20241029092542-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080264-00371105-20241029092542-P.log,2024-10-29,09:24:20,87,Test Passed,88.2[s],Download SerialInput,
1099,00080000\0200,00080265-00371105-20241029103459-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080265-00371105-20241029103459-P.log,2024-10-29,10:33:32,110,Test Passed,87.2[s],Download SerialInput,
1100,00080000\0200,00080267-00371105-20241029094600-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080267-00371105-20241029094600-P.log,2024-10-29,09:44:33,94,Test Passed,87.4[s],Download SerialInput,
1101,00080000\0200,00080268-00371105-20241029094818-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080268-00371105-20241029094818-P.log,2024-10-29,09:47:02,95,Test Passed,76.7[s],Download SerialInput,
1102,00080000\0200,00080269-00371105-20241029083340-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080269-00371105-20241029083340-P.log,2024-10-29,08:32:03,71,Test Passed,97.3[s],Download SerialInput,
1103,00080000\0200,00080270-00371105-20241029103749-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080270-00371105-20241029103749-P.log,2024-10-29,10:36:23,111,Test Passed,86.8[s],Download SerialInput,
1104,00080000\0200,00080271-00371105-20241029051318-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080271-00371105-20241029051318-P.log,2024-10-29,05:11:51,36,Test Passed,87.2[s],Download SerialInput,
1105,00080000\0200,00080272-00371105-20241029110654-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080272-00371105-20241029110654-P.log,2024-10-29,11:05:27,122,Test Passed,87.1[s],Download SerialInput,
1106,00080000\0200,00080273-00371105-20241029105633-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080273-00371105-20241029105633-P.log,2024-10-29,10:55:06,118,Test Passed,87.2[s],Download SerialInput,
1107,00080000\0200,00080276-00371105-20241029104027-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080276-00371105-20241029104027-P.log,2024-10-29,10:39:00,112,Test Passed,87.4[s],Download SerialInput,
1108,00080000\0200,00080277-00371105-20241025041405-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080277-00371105-20241025041405-P.log,2024-10-25,04:12:36,25,Test Passed,88.6[s],Download SerialInput,
1109,00080000\0200,00080277-00371105-20241029105940-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080277-00371105-20241029105940-P.log,2024-10-29,10:58:08,119,Test Passed,113.3[s],Download SerialInput,
1110,00080000\0200,00080278-00371105-20241029110200-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080278-00371105-20241029110200-P.log,2024-10-29,11:00:33,120,Test Passed,87.0[s],Download SerialInput,
1111,00080000\0200,00080280-00371105-20241029104549-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080280-00371105-20241029104549-P.log,2024-10-29,10:44:22,114,Test Passed,86.8[s],Download SerialInput,
1112,00080000\0200,00080281-00371105-20241029104823-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/00080000\0200\00080281-00371105-20241029104823-P.log,2024-10-29,10:46:57,115,Test Passed,86.8[s],Download SerialInput,
